MachineAge,hourReading,HrPerDay,SN,ModelNum,Model,CustType,InvertedAge
10,1,0.1,0,12,D,6,
62,1,0.016129032,4327,48,J,3,x
20,6,0.3,4330,48,J,3,
14,12,0.857142857,4354,48,J,3,
18,2,0.111111111,5106,53,D,6,
15,12,0.8,5193,53,D,3,
18,1.4,0.077777778,5391,53,D,6,
0.0001,0.1,,5405,53,D,6,
14,15,1.071428571,5454,53,D,3,
40,0.4,0.01,5458,53,D,6,x
14,2,0.142857143,5550,53,D,2,
14,3,0.214285714,6110,12,D,3,
14,0.8,0.057142857,6178,12,D,6,
11,0.5,0.045454545,6245,12,D,6,x
41,0.5,0.012195122,6339,12,D,6,x
5,1,0.2,6643,12,D,6,
10,0.2,0.02,7591,46,I,6,x
7,1,0.142857143,7627,46,I,6,
10,5.2,0.52,8891,59,E,8,
34,10.8,0.317647059,8910,59,E,3,
54,55,1.018518519,8915,59,E,6,
1,1,1,8917,59,E,2,
22,8,0.363636364,8932,59,E,3,
46,1,0.02173913,8935,59,E,4,
29,10,0.344827586,9073,38,F,3,
33,20,0.606060606,9075,38,F,6,
29,8,0.275862069,9080,38,F,3,
27,8,0.296296296,9081,38,F,3,
19,3,0.157894737,9081,38,F,3,
29,6,0.206896552,9083,38,F,3,
5,1,0.2,9390,5,B,6,
12,1,0.083333333,9801,58,E,6,
23,3,0.130434783,10133,5,B,6,
49,36.1,0.736734694,10152,5,B,3,
15,13,0.866666667,10159,5,B,3,
3,1.8,0.6,10214,5,B,3,
28,1,0.035714286,10225,5,B,6,
46,1,0.02173913,10242,5,B,3,
9,4,0.444444444,10258,7A,J,3,
4,1,0.25,10292,48,J,3,
18,5,0.277777778,10334,48,J,3,
9,1,0.111111111,10343,48,J,3,x
21,1.1,0.052380952,10366,42,G,3,
4,0.3,0.075,10487,53,D,3,
28,0.6,0.021428571,10757,53,D,6,
2,0.5,0.25,10810,53,D,6,x
46,0.1,0.002173913,10810,53,D,6,x
22,2,0.090909091,10847,53,D,6,
2,1,0.5,10848,53,D,6,
9,2.1,0.233333333,10882,53,D,6,
31,12.1,0.390322581,10907,53,D,6,
99,2,0.02020202,10924,53,D,4,
11,1,0.090909091,11036,12,D,6,
7,1,0.142857143,11100,12,D,7,
4,2,0.5,11103,12,D,6,
3,1,0.333333333,11103,12,D,6,
5,0.5,0.1,11105,12,D,6,
0.0001,0.1,,11106,12,D,6,
5,1,0.2,11149,12,D,6,
3,1,0.333333333,11182,12,D,6,
1,1,1,11189,12,D,6,
18,5,0.277777778,11327,12,D,6,
21,5,0.238095238,11336,12,D,6,
10,0.2,0.02,11859,45,I,6,
30,11,0.366666667,11862,45,I,6,
82,1,0.012195122,11919,45,I,6,x
28,1,0.035714286,11945,45,I,2,x
81,1,0.012345679,11947,45,I,6,x
16,1,0.0625,11948,45,I,6,x
86,1,0.011627907,11955,45,I,6,x
21,1,0.047619048,11960,45,I,2,x
5,4,0.8,11968,45,I,6,
20,1,0.05,11981,45,I,6,x
37,3.8,0.102702703,12078,45,I,6,
24,3,0.125,12096,45,I,6,
33,1,0.03030303,12110,45,I,6,x
19,1,0.052631579,12163,45,I,6,x
5,1,0.2,12168,45,I,6,x
21,1,0.047619048,12177,45,I,6,x
14,1,0.071428571,12179,45,I,6,x
16,1,0.0625,12190,45,I,6,x
16,2,0.125,12204,45,I,6,
28,3.1,0.110714286,12310,45,I,6,
14,1.2,0.085714286,12385,45,I,6,
14,7.5,0.535714286,12438,45,I,6,
26,0.01,0.000384615,12481,45,I,6,x
37,3,0.081081081,12542,45,I,6,
15,4.3,0.286666667,12573,45,I,6,
118,1,0.008474576,12876,46,I,6,x
82,1,0.012195122,12881,46,I,6,x
30,8,0.266666667,12902,46,I,6,
1,1,1,14376,43,H,6,
28,0.6,0.021428571,15315,23,E,4,
33,0.6,0.018181818,15315,23,E,4,
23,10,0.434782609,15570,53,D,6,
2,0.1,0.05,15603,53,D,3,
28,1.2,0.042857143,15617,53,D,2,
11,0.5,0.045454545,15759,12,D,6,
29,18,0.620689655,15766,65,G,3,
136,30,0.220588235,15766,65,G,3,
14,1,0.071428571,16990,45,I,6,
9,3,0.333333333,17092,45,I,6,
4,1,0.25,17421,48,J,3,
26,9.3,0.357692308,17439,48,J,3,
30,20,0.666666667,17498,65,G,3,
45,77,1.711111111,17507,65,G,3,
45,79,1.755555556,17508,65,G,3,
23,1.3,0.056521739,17565,6E,D,6,
16,1,0.0625,17627,53,D,6,
0.0001,1,,17717,53,D,6,
55,11,0.2,17773,53,D,3,
55,9,0.163636364,17773,53,D,3,
38,2,0.052631579,17840,53,D,6,
13,1,0.076923077,17846,53,D,3,
23,0.1,0.004347826,17876,53,D,6,x
21,1.5,0.071428571,17931,53,D,6,
40,12.4,0.31,17947,53,D,6,
3,27,9,17962,53,D,2,x
29,2,0.068965517,17963,53,D,6,
77,7.2,0.093506494,17977,53,D,6,
28,1,0.035714286,17978,53,D,3,x
46,91.1,1.980434783,17978,53,D,3,
55,2.8,0.050909091,18036,53,D,6,
67,8,0.119402985,18081,53,D,6,
87,0.1,0.001149425,18089,53,D,6,x
6,1,0.166666667,18110,53,D,3,
40,1,0.025,18150,53,D,3,
40,2,0.05,18152,53,D,3,
36,4,0.111111111,18188,53,D,6,
36,2,0.055555556,18188,53,D,6,
0.0001,0.1,,18235,12,D,6,
0.0001,0.1,,18241,12,D,6,
33,5,0.151515152,18458,64,F,2,
4,1,0.25,18470,64,F,6,x
41,10,0.243902439,18474,64,F,4,
95,13.8,0.145263158,18481,64,F,4,
9,1,0.111111111,18499,48,J,3,
38,53,1.394736842,18514,48,J,3,
18,4,0.222222222,18545,48,J,3,
34,47,1.382352941,18548,48,J,3,
51,12,0.235294118,18720,7A,J,3,
33,60,1.818181818,18728,7A,J,3,
49,10,0.204081633,18793,7A,J,3,
62,7,0.112903226,18806,7A,J,3,
9,1,0.111111111,18947,53,D,3,x
22,1.7,0.077272727,18981,53,D,6,
15,0.7,0.046666667,18981,53,D,6,
13,6,0.461538462,19027,53,D,3,
18,5,0.277777778,19045,53,D,3,
45,1,0.022222222,19118,53,D,6,x
30,1,0.033333333,19146,53,D,6,x
10,1,0.1,19150,53,D,6,x
0.0001,0.1,,19298,12,D,6,
40,13,0.325,19299,12,D,6,
6,2,0.333333333,19392,12,D,6,
8,2,0.25,19436,12,D,6,
57,11.4,0.2,19436,12,D,6,
50,91,1.82,19453,12,D,6,
50,88,1.76,19453,12,D,6,
72,125,1.736111111,19453,12,D,6,
30,11,0.366666667,19453,12,D,6,
41,11.2,0.273170732,19454,12,D,3,
9,1,0.111111111,19457,12,D,6,x
26,1,0.038461538,19779,6C,B,6,x
44,20,0.454545455,19796,6E,D,3,
7,1,0.142857143,20082,6D,B,3,
121,26,0.214876033,21133,53,D,3,
119,24,0.201680672,21133,53,D,3,
61,5,0.081967213,21180,53,D,6,x
7,2,0.285714286,21190,53,D,6,
36,1,0.027777778,21248,53,D,3,
14,3,0.214285714,21260,53,D,3,
36,9.3,0.258333333,21330,12,D,6,
23,1,0.043478261,21404,12,D,6,
71,87,1.225352113,21555,6D,B,3,
64,54,0.84375,21586,6D,B,3,
113,0.1,0.000884956,23050,53,D,3,x
18,1,0.055555556,23065,53,D,3,
20,2,0.1,23132,53,D,3,
24,1,0.041666667,23288,12,D,6,x
61,5,0.081967213,23334,12,D,6,
11,1,0.090909091,23356,12,D,6,
26,6,0.230769231,23369,12,D,3,
10,1,0.1,23430,12,D,6,
49,3,0.06122449,23432,12,D,6,
29,94.5,3.25862069,25304,32,F,3,
6,1,0.166666667,25348,32,F,6,
38,1,0.026315789,25533,32,F,3,
67,4,0.059701493,25552,32,F,3,
15,24.6,1.64,25597,32,F,3,
13,0.3,0.023076923,25619,32,F,3,
41,5,0.12195122,25636,32,F,6,
21,2,0.095238095,25644,32,F,3,
42,10,0.238095238,25649,32,F,6,
20,1,0.05,25649,32,F,6,
43,2,0.046511628,25687,32,F,6,
34,15.6,0.458823529,25725,6C,B,6,
34,15.6,0.458823529,25725,6C,B,6,
133,4,0.030075188,25745,6C,B,3,
52,6,0.115384615,25831,7A,J,3,
139,150,1.079136691,25832,7A,J,3,
53,1,0.018867925,25852,7A,J,3,
53,74,1.396226415,25866,7A,J,3,
75,25,0.333333333,25920,7A,J,3,
59,15,0.254237288,25920,7A,J,3,
93,36,0.387096774,25963,7A,J,3,
42,10.8,0.257142857,26121,12,D,2,
21,2,0.095238095,26128,12,D,6,
1,1,1,26170,12,D,6,
85,31.5,0.370588235,26191,12,D,3,
63,12,0.19047619,26191,12,D,3,
0.0001,0.1,,26194,12,D,6,
32,6.8,0.2125,26194,12,D,6,
17,2,0.117647059,26202,12,D,2,
25,2,0.08,26228,12,D,6,
